,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review,pos_review_en,neg_review_en
451,Francisca,Para repetir.,"Cama grande comoda . Amplitud de habitación. Limpieza exquisita, detalle de agua y zumos en nevera. TV  muy grande y detalles para hacer más comoda la estancia.Gran relacion calidad precio",El parking estaba completo,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-25,"Comfortable large bed. Room size. Exquisite cleaning, detail of water and juices in the fridge. Very large TV and details to make the stay more comfortable.Great value for money",Parking was complete
452,Alex,Amabilidad y ubicacion . Habitaciones confortables. Sin duda repetiremos,La amabilidad con la que nos trataron y la ubicacion,La “coliflor” de las duchas deberian empezar a canviarse y la mampara deberia cubrir más espacio ;cae mucha agua fuera y es algo incomodo,España,9.0,En familia,Habitación Cuádruple Estándar,2022-01-24,The kindness with which we were treated and the location,The “cauliflower” in the showers should start to change and the screen should cover more space ; a lot of water falls out and it is somewhat uncomfortable
453,Antonio,Cumple su cometido.,"Acceso rápido, habitaciones muy grandes.
En el centro.","Es un hotel tipo “negocios” pero pequeño.
No tiene vistas (esperable al ser tan centrico).
Parking 18€ la noche,aunque por lo menos tiene.",España,8.0,En familia,Habitación Familiar,2022-01-22,"Quick access, very large rooms.
Downtown.","It is a ""business"" type hotel but small.
It has no views (expected to be so central).
Parking 18€ per night,although at least it has."
454,Sara,Genial.,"Habitaciones super grandes.
Agua y zumos de bienvenida gratis.
Cerca de la calle comercial (1minuto andando)",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-22,"Super large rooms.
Free water and juices welcome.
Close to the shopping street (1 minute walk)",
455,Eduardo,Buena,la ubicación,nada,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-22,the location,nothing
456,Dapamago,Confort en el centro,"Nos sorprendió la cena que entraba con la media pensión. Constaba de un primero, segundo y postre todos muy bien elaborados. la bebida no estaba incluida. Del desayuno lo más flojo el café. La ubicación genial está al lado de la calle principal de Escaldes, ideal para ir andando a Caldea o a las tiendas.",La lentitud para poder utilizar en algunos momentos el ascensor (incluso el personal de la limpieza utiliza los mismos que los clientes cuando hay uno en especial con llave para el personal).,España,8.0,En familia,Habitación Triple,2022-01-20,"We were surprised by the dinner that came with half board. It consisted of a first, second and dessert all very well made. the drink was not included. Coffee is the loosest of breakfasts. The great location is next to the main street of Escaldes, ideal for walking to Caldea or to the shops.",The slowness to be able to use the elevator at some times (even the cleaning staff uses the same as the customers when there is one especially with a key for the staff).
457,Marly,Excelente,Excelente,,Estados Unidos,10.0,En familia,Habitación Cuádruple Deluxe,2022-01-19,Excellent,
458,Genís,Muy bien,"La habitacion es muy grande, la ducha se veia nueva, y los trabajadores muy simpaticos.
El buffet desayuno parecia pequeño pero tiene de todo.","Por poner una pega, el agua de la ducha no sale con mucha fuerza",España,9.0,En pareja,Habitación Doble Deluxe,2022-01-17,"The room is very large, the shower looked new, and the workers very nice.
The breakfast buffet looked small but it has everything.","To put a stick, the water in the shower does not come out very strongly"
459,Sara,Muy bien,El tamaño de la habitación.  Que tenga dos baños. El desayuno muy bueno.,.,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-16,The size of the room.  Have two bathrooms. Very good breakfast.,.
460,Pavel,Excepcional,"Todo fenomenal, las habitaciones grandes, personal super amable y simpatico. Dispone de parking. Vovlería...",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-16,"All phenomenal, large rooms, super friendly and friendly staff. It has parking. Vovlería...",
461,Acacio,Fantástico,Todo. La habitación y el desayuno muy completo,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-14,Everything. The room and the breakfast very complete,
462,Rosa,hotel bien situado en el centro y muy cómodo y limpio,"Ubicación excelente a 5m a pie de Caldea y las tiendas, las comidas muy bien. No hay problema para aparcar xq hay varios parquins muy cerca","El wifi, en la 5a planta, no funcionaba muy bien.",España,9.0,En familia,Habitación Cuádruple Deluxe,2022-01-12,"Excellent location 5m walk from Caldea and the shops, meals very well. No problem to park xq there are several parking lots very close",The wifi on the 5th floor didn't work very well.
463,Alejandro,muy buena!,personal y localizacion,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-11,personnel and location,
464,Sandra,Excepcional,Fantastico,,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-09,Excellent,
465,Josep,relax,su ubicación,falta de conectividad wiffi en las habitaciones,España,8.0,En familia,Habitación Cuádruple Estándar,2022-01-09,Because of its location,lack of wifi connectivity in rooms
466,David,Excepcional,"Todo perfecto, buena Ubicación, personal muy amable y habitaciónes muy buenas y comodas",,España,10.0,En grupo,Habitación Cuádruple Estándar,2022-01-09,"Everything perfect, good location, very friendly staff and very good and comfortable rooms",
467,Isabel,TOTALMENTE ACONSEJABLE,"Todo fué genial, en cuanto al desayuno hubo una época excelente, variedad, en todos los aspectos, en la actualidad se nota bastante una reducción importante.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-07,"Everything was great, as for breakfast there was an excellent time, variety, in all aspects, nowadays there is quite a significant reduction.",
468,Carmen,Bien,Muy cómoda la habitación y perfecta ubicación,,España,7.5,En familia,Habitación Cuádruple Estándar,2022-01-04,Very comfortable room and perfect location,
469,Aosta,muy buena estancia,habitaciones amplias. Posibilidad de cuádruple muy cómoda,parking insuficiente. tuvimos que buscar uno fuera del hotel y muy caro.,España,8.0,En familia,Habitación Cuádruple Deluxe,2022-01-04,spacious rooms. Quadruple very comfortable possibility,insufficient parking. we had to look for one outside the hotel and very expensive.
470,Mariano,Excepcional,"La ubicación, la habitación en general. Cómoda y amplia.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-01-03,"The location, the room in general. Comfortable and spacious.",
471,Alma,Excepcional,"Todo!!
El personal muy atento y amable, dispuesto a hacer tu estancia más agradable. 
La habitación un 10....eramos 4 y estuvimos muy amplios. 
Las camas y las almohadas muy cómodas. 
El hotel está muy limpio y tiene muy buena ubicación. 
Sin duda...repetiremos",,España,10.0,En pareja,Habitación Cuádruple Estándar,2022-01-03,"Everything!!
The staff is very attentive and friendly, ready to make your stay more pleasant. 
The room was a 10....there were 4 of us and we were very spacious. 
Very comfortable beds and pillows. 
The hotel is very clean and has a very good location. 
No doubt...we will repeat",
472,Antonia,Fantástico,"Ubicación,. La habitación era enorme y con dos baños.","La limpieza no era perfecta. No dejaban las camas hechas, sobre todo con las literas era muy incómodo",España,9.0,En familia,Habitación Cuádruple Deluxe,2022-01-02,"Location,. The room was huge and with two bathrooms.","The cleaning was not perfect. They did not leave the beds made, especially with the bunk beds it was very uncomfortable"
473,Monica,Muy bien,La ubicación,La luz que entra por las ventanas y el ruído,España,8.0,En familia,Habitación Triple,2021-12-31,Location,The light coming through the windows and the noise
474,Jose,recomendable 100%,"ubicación estupenda, habitación súper amplia y cómoda y desayuno buenísimo. todo perfecto",,España,10.0,En familia,Habitación Familiar,2021-12-31,"great location, super spacious and comfortable room and great breakfast. everything perfect",
475,Rocio,muy bien ubicado,ubicación y la habitación muy amplia (cuádruple),"la habitación parece bastante antigua: muebles y suelo gastados…
que no reserven parking",España,8.0,En familia,Habitación Cuádruple Estándar,2021-12-31,location and very spacious room (quadruple),"the room looks quite old: worn furniture and floor…
do not reserve parking"
476,Cristina,Volveremos,La verdad que esta bastante bien el hotel en si pero tendrían que mejorar el mobiliario es bastante antiguo.En cuanto la cena felicidades al chef 👏estaba todo muy rico aunque el salmón un poco seco pero bienn..en cuanto me llegó el postre se me olvidó todo 🤩El limón pie es excelente tanto el arroz con calamares 🦑 🔝 .Las gambas marinadas 🎯riquísimas..un acierto total las mezclas de sabores era genial.El desayuno ha estado bien aunque para un hotel de 4* creo que podría mejor un poco . El personal de la recepción súper amable y los camareros del restaurante también…,,España,8.0,En familia,Habitación Cuádruple Estándar,2021-12-30,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,
477,Alves,Excepcional,"Somos una familia de tres y hay dos baños en la habitación, excelente",,España,10.0,En grupo,Habitación Triple,2021-12-29,"We are a family of three and there are two bathrooms in the room, excellent",
478,Estefania,muy bueno calidad precio,instalaciones ubicación,,España,9.0,En grupo,Habitación Cuádruple Estándar,2021-12-29,location Facilities,
479,Isni,Muy bien,"Una de las chicas de recepción para estar cara al publico, un poco desagradable,. Pedi cama extragrande y no fue lo que nos encotramos. Lo demas correcto y ubicación muy bien.",caracter chica recepción,"Abjasia, ​Georgia",8.0,En familia,Habitación Cuádruple Deluxe,2021-12-29,"One of the reception girls to be face to face with the public, a little unpleasant,. I asked for an extra-large bed and it wasn't what we found. The rest is correct and the location is very good.",character Girl Reception
480,Marga,Perfecta,"La ubicación perfecta, cerca del centro pero no en medio. No desayunamos en el hotel. El aparcamiento es de pago.",,España,9.0,En familia,Habitación Familiar,2021-12-29,"The perfect location, close to the center but not in the middle. We didn't have breakfast at the hotel. Parking is for a fee.",
481,Roger,Fantástico,La habitación,,España,9.0,En familia,Habitación Cuádruple Estándar,2021-12-29,The bedroom,
482,Maria,Excepcional,"Excelente ubicación, habitación súper amplia, el personal muy amable.",,España,10.0,En familia,Habitación Cuádruple Estándar,2021-12-29,"Excellent location, super spacious room, very friendly staff.",
483,Cristina,Muy bien,La habitación es muy amplia y tiene bastante armario. Tambien hay un pequeño recibidor el cual puedes cerrar la puerta y minimiza mucho si hay ruido exterior.,"Los muebles y las puertas están en mal estado.
Solo hay el espejo del baño y es pequeño",España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-26,The room is very spacious and has quite a closet. There is also a small hall which you can close the door and minimizes much if there is outside noise.,"The furniture and doors are in poor condition.
There's only the bathroom mirror and it's small"
484,Calomarde,Recomendable al 95%,"la habitación muy amplia , nos ha encantado",la wifi no llega bien a la habitación se cortaba por las noches,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-24,"the room was very spacious , we loved it",the wifi does not arrive well to the room was cut at night
485,Caarla16,Muy bien,"La ubicación es muy buena, al lado del centro.
La habitación muy grande y limpia.","El wifi no llegaba bien a las habitaciones
En el baño no habia escobillas
También se escuchaba bastante el ruido del exterior...",España,8.0,En pareja,Habitación Doble Deluxe,2021-12-21,"The location is very good, next to the center.
The room is very large and clean.","Wifi didn't get to the rooms well
There were no brushes in the bathroom.
There was also a lot of noise from the outside."
486,Mariano,Muy corta pero muy activa..,"La ubicación era muy buena, ya que esta a 30 metros de la calle central y no tiene perdida--El desayuno opcional y muy variado, de self service--los productos muy frecos y el personal muy agradable--","todo era perfecto--la estancia muy corta por el regreso al trabajo, pero aun así nos hubieramos quedado mas tiempo--ya que el personal es muy cualificado...y da gusto repetir en un lugar donde te reciben con los brazos abiertos...",España,10.0,En familia,Habitación Cuádruple Estándar,2021-12-20,"The location was very good, as it is 30 meters from the central street and has no loss-- Optional breakfast and very varied, self-service-- very frequent products and very nice staff--","everything was perfect - the stay was very short because of the return to work, but we would still have stayed longer - since the staff is very qualified...and it is good to repeat in a place where they welcome you with open arms..."
487,Josep,Muy bien,El aparcamiento estaba lleno pero en recepción nos indicaron otras opciones cerca del hotel,"Tuvimos problemas con la calefacción por aire, hacía mucho calor",España,8.0,En familia,Habitación Cuádruple Estándar,2021-12-20,The parking lot was full but at the reception they indicated other options near the hotel,"We had problems with the air heating, it was very hot"
488,Hanae,la habitación es perfecta,la habitación súper grande y muy limpia,,España,10.0,En familia,Habitación Cuádruple Estándar,2021-12-20,the room super large and very clean,
489,Eduardo,Satisfactoria de acuerdo con mis expectativas.,"La ubicación muy céntrica, y la calidad - precio del restaurante.","El precio del parking por día, me costo un 35% del importe de la reserva.",España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-20,"The very central location, and the quality - price of the restaurant.","The price of the parking per day, cost me 35% of the amount of the reservation."
490,Jose,Excepcional,"ubicación perfecta , parking en frente muy barato más que el del hotel y la comida muy buena",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-20,"perfect location, parking in front very cheap more than that of the hotel and very good food",
491,Antonio,"Muy bien hotel, con muy buena habitación","La amplitud de la habitación y la claridad de esta, gracias a su gran ventana",Las camas no eran muy cómodas. Al menos en la que yo dormí,España,8.0,En familia,Habitación Triple,2021-12-19,"The spaciousness of the room and the clarity of it, thanks to its large window",The beds were not very comfortable. At least the one I slept in.
492,Aleix,"Excelente, ningún aspecto a mejorar",Me pareció perfecto en todos los aspectos. Habitación recién reformada. Muy espaciosa,No hay nada que no me haya gustado,España,10.0,En grupo,Habitación Cuádruple Deluxe,2021-12-19,I thought it was perfect in every way. Newly renovated room. Very spacious,Negative: no hay nada que no me haya gustado
493,Cristina,EXCELENTE UBICACIÓN y RESTAURANTE,La amplitud de las habitaciones y la comida,La falta de plazas de parking y que no se pueda reservarlas.,España,10.0,En grupo,Habitación Cuádruple Estándar,2021-12-19,The spaciousness of the rooms and the food,The lack of parking spaces and that they can not be reserved.
494,Yaiza,Recomendable 100%,"La verdad que nos gustó todo, es la tercera vez que estamos en este hotel y super bien, el personal fantastico, las habitaciones geniales y la comida delux",Si tengo que poner una pega es que el wifi no llegaba bien a la habitación,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-18,"The truth is that we liked everything, it is the third time we are in this hotel and super well, fantastic staff, great rooms and deluxe food",If I have to put a catch it is that the wifi did not arrive well in the room
495,Mireia,Hotel espectacular.,"Nos encantó la habitación, muy amplia y limpia. Además de la comida del restaurante espectacular. Personal muy atento y amable y genial ubicación.",Nada. Todo genial,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-14,"We loved the room, very spacious and clean. In addition to the spectacular restaurant food. Very attentive and friendly staff and great location.",Everything great.
496,Sergio,Buen alojamiento para familias,"La situación es muy buena y la habitación familiar está muy bien, estando juntos los niños tiene su cuarto de baño aparte de la parte de la cama doble, una buena idea",,España,8.0,En familia,Habitación Familiar,2021-12-12,"The situation is very good and the family room is very good, being together the children have their bathroom apart from the double bed part, a good idea",
497,Fouad,Fantástico,La ubicacion,,Marruecos,9.0,En familia,Habitación Familiar Deluxe,2021-12-12,The location,
498,Jose,Fantástico,"Ubicacion idonea, habitaciones amplias y comodas. Personal muy atento","No poder aparcar en el parking del hotel, por falta de sitio.",España,9.0,En grupo,Habitación Doble - 1 o 2 camas,2021-12-12,"Suitable location, spacious and comfortable rooms. Very attentive staff","Not being able to park in the hotel car park, due to lack of space."
499,Clara,Muy bien,"La ubicación, muy céntrico.","la parte del bufet del desayuno era pequeña, había poco espacio y se acumulaba la gente.",España,8.0,En pareja,Habitación Doble Deluxe,2021-12-11,"The location, very central.","the part of the breakfast buffet was small, there was little space and people were piling up."
500,Marta,"Su ubicación y calidad precio, seguro que volveremos","El  tamaño de la habitacio impresionante
El desayuno correcto
Trato amable del personal",Las almohadas no son muy comodas,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-11,"The  size of the room impressive
The right breakfast
Friendly staff treatment",Pillows are not very comfortable
501,Jesús,Me ha gustado la estancia y volvería sin duda,Todo en general,Y el personal muy atento,España,10.0,En pareja,Habitación Doble Deluxe,2021-12-10,"Everything, in general. ",And the very attentive staff
502,Raquel,Muy correcto,Las habitaciones y el restaurante,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-10,The rooms and the restaurant,
503,Olga,"El hotel es de 10! Estancia muy agradable, cenas de lujo, trato exquisito. Volveremos.","Me encantó el hotel, muy nuevo, limpio y muy bien ubicado, zona tranquila, pero próxima a la zona comercial y Caldea. Destacar especialmente la comida, las cenas fueron espectaculares (el chef realiza platos de alta cocina). El desayuno también estuvo muy correcto. Y también destacar la atención de los camareros, especialmente de Lucio que fue muy amable en todo momento. Lo recomendaré sin duda y volveré seguro.","En la habitación hacía excesivo calor para dormir, y no se puede regular la temperatura. También que haya pocas plazas de aparcamiento en el hotel y nos obligara a irnos a uno público por el que pagamos un importe desorbitado.",España,9.0,En familia,Habitación Cuádruple Deluxe,2021-12-09,"I loved the hotel, very new, clean and very well located, quiet area, but close to the commercial area and Caldea. Especially highlighting the food, the dinners were spectacular (the chef makes haute cuisine dishes). Breakfast was also very good. And also to highlight the attention of the waiters, especially Lucio who was very kind at all times. I will definitely recommend it and come back safe.","In the room it was too hot to sleep, and you can not regulate the temperature. Also that there are few parking spaces in the hotel and forced us to go to a public one for which we pay an exorbitant amount."
504,Cristina,Estancia agradable,"Que era tranquilo,habitaciones muy amplias,la comida buena y su ubicación.",Nuestra habitación particularmente era una cuádruple y queriamos estar todos juntos y nos tocó dormir separados tipo habitáculo en la entrada tipo hall en dos literas.,España,8.0,En familia,Habitación Cuádruple Estándar,2021-12-06,"It was quiet, very spacious rooms, good food and its location.",Our room particularly was a quadruple and we wanted to be all together and we had to sleep separately cabin type at the entrance hall type in two bunk beds.
505,Pascual,Genial,ubicación y la enorme habitación,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-12-06,location and the huge room,
506,Jesica,Confortable y tranquilo,"Muy acogedor y limpio, muy bien ubicado para moverse por el centro. Nos dieron una habitación superior.",Todo estuvo correcto.,España,10.0,En grupo,Habitación Doble - 1 o 2 camas,2021-12-03,"Very cozy and clean, very well located to move around the center. We were given an upper room.",Everything was right.
507,Jenni,Hotel muy recomendable,Las habitaciones son muy grandes y espaciosas. Estan muy limpias y se puede descansar muy bien. Está muy cerca de la zona comercial. El personal és muy atento y agradable. És la tercera vez que nos alojamos en este hotel y sin duda si volvemos Andorra será nuestra primera opción.,,España,10.0,En familia,Habitación Cuádruple Estándar,2021-12-02,The rooms are very large and spacious. They are very clean and can rest very well. It is very close to the shopping area. The staff is very attentive and friendly. It is the third time we have stayed at this hotel and undoubtedly if we return Andorra will be our first choice.,
508,Raquel,Muy buena como siempre!!,"Parking disponible antes del checkin.
Desayuno muy bueno, variado y amplias horas.
Habitación y servicios muy buenos
Repetimos cada año que viajamos Andorra, en plena avenida Meritxell",Hubiéramos preferido hacer el checkin un poco más pronto cuando llegamos para dejar maletas pero al dejarnos disponer del parking nos pareció buena alternativa.,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-30,"Parking is available prior to check-in.
Very good breakfast, varied and long hours.
Very good room and services
We repeat every year that we travel Andorra, in the middle of Avenida Meritxell",We would have preferred to check in a little sooner when we arrived to leave our bags but letting us have the parking seemed like a good alternative.
509,Raquel,Buen hotel,Me gusto que pedi una cama grande y me la dieron. Tambien nos dejaron dejar el coche despues del cheek out hasta las 15h.la habitacion muy grande y reformada,El parking pequeño.,España,8.0,En pareja,Habitación Doble Deluxe,2021-11-30,I liked that I asked for a big bed and they gave it to me. They also let us leave the car after the cheek out until 15h.the room very large and renovated,The small parking.
510,Diaz,Muy bien,Las habitaciones nuevas como sale en la foto,"La habitación que me dieron  al principio, suerte que lo solucionaron rapido",España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-28,New rooms as shown in the photo,"The room they gave me at the beginning, luckily they fixed it quickly"
511,Jose,Fabuloso,Excelente,,España,10.0,En pareja,Habitación Doble Deluxe,2021-11-28,Excellent,
512,Mªcarmen,Muy bien,Cama comoda y grande.Todo estaba muy bien.,El cafe del desayuno,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-27,Comfortable and large bed. Everything was very good.,The Breakfast Cafe
513,Alexandre,Excepcional,"La habitación y la atención del personal de recepción, muy agradables.",El WiFi no llegaba a toda la habitacion,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-22,"The room and the attention of the reception staff, very nice.",WiFi did not reach the entire room
514,Oscar&mary,Finde espectacular,"La ubicación y la limpieza. La media pensión desayuno-cena ,el desayuno buffet todo muy bueno y de buena calidad. La cena , tipo carta ESPECTACULAR 😍, unos platos de alta cocina increíble y buenísimo. El trato de los camareros muy cercano y educados. Repetiremos en nuestra próxima visita Andorra!",Nada. Todo perfecto!,España,10.0,En pareja,Habitación Doble Deluxe,2021-11-22,"Location and cleanliness. Half board breakfast-dinner ,breakfast buffet all very good and good quality. Dinner , SPECTACULAR menu type😍, some amazing and delicious haute cuisine dishes. The treatment of the waiters very close and polite. We will repeat on our next visit Andorra!","Noting, Everything is perfect. "
515,Cristina,Muy bien,Amplitud de las habitaciones,Las vistas,España,8.0,En grupo,Habitación Familiar Deluxe,2021-11-22,Room Amplitude,The views
516,Teresa,Hace años que vamos,"la atención de todo el personal, sobretodo del restaurante y la amplitud de las habitaciones.",la iluminación de las habitaciones demasiado tenues,España,10.0,En familia,Habitación Familiar,2021-11-21,"the attention of all the staff, especially the restaurant and the spaciousness of the rooms.",the lighting of the rooms too dim
517,David,Siempre repetimos!,Habitaciones enormes con literas. Ideal si vas con niños.,,España,10.0,En familia,Habitación Doble - 1 o 2 camas,2021-11-21,Huge rooms with bunk beds. Ideal if you go with children.,
518,Vanesa,Habitación,"La habitación era grande y comoda
La comida estaba genial tanto el desayuno como la cena. Los camareros muy majos, si les preguntabas te aconsejaban sitios que visitar
El hotel estaba en muy buena localización
Las camas eran muy cómodas y los baños estaban muy bien","Las tarjetas para abrir la puerta y encender la luz iba un poco mal.
Lo único que la cena es un menú y si te quedas muchos días (6 nosotros) se hace un poco repetitivo.
Hubo un malentendido con el parking pero lo solucionaron sin problema.",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-21,"The room was large and comfortable
The food was great for both breakfast and dinner. The very nice waiters, if you asked them they advised you places to visit
The hotel was in a very good location
The beds were very comfortable and the bathrooms were very nice.","The cards to open the door and turn on the light were going a little wrong.
The only thing that dinner is a menu and if you stay many days (6 us) it becomes a bit repetitive.
There was a misunderstanding with the parking but they solved it without problem."
519,Lucia,Sitio idóneo para pasar unos días.,"Trato agradable, estancia muy cómoda. La comida muy buena.",,España,9.0,En pareja,Habitación Doble Deluxe,2021-11-19,"Nice treatment, very comfortable stay. Very good food.",
520,Montse,Perfecta.,El desayuno es buenisimo. Todo lo que hay és de muy buena calidad.,Nada. He ido en varias.ocasiones y volvere a ir.,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-19,Breakfast is great. Everything there is is of very good quality.,Nothing. I've gone on several occasions and I'll go again.
521,Francisco,Fantástico,La cena y el desayuno. La atención del personal.,El baño le hace falta una renovación.,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-19,Dinner and breakfast. The attention of the staff.,The bathroom needs a renovation.
522,Roberto,Muy bien,"la amplitud de la habitación, el baño con dos duchas, la cama enorme","ubicación fantástica para andar, pero para ir en coche no tan bien, el wifi fatal, apenas llegaba cobertura a la habitación",España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-18,"the spaciousness of the room, the bathroom with two showers, the huge bed","fantastic location to walk, but to drive not so well, the fatal wifi, barely reached the room coverage"
523,Xavier,comodidad,"Ubicación, calidad & precio, personal",,España,9.0,En familia,Habitación Doble - 1 o 2 camas,2021-11-18,"Location, quality & price, staff",
524,Maria,"Instalaciones muy comodas, desayuno muy completo y café buenisimo! Muy céntrico.","El desayuno muy completo,cafe buenísimo y comida muy variada.",Me gustó todo.,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-18,"The breakfast is very complete, the coffee is very good and the food is very varied.",I liked everything
525,Gabriela,Fantástico,"habitación muy espaciosa, perfecta para ir en familia",,España,9.0,En familia,Habitación Doble - 1 o 2 camas,2021-11-18,"very spacious room, perfect for families",
526,Sandra,Fabuloso,"Hotel céntrico ideal para pasar unos días en pareja o familia, habitaciones enormes y muy bien equipadas. Segunda vez que vengo y siñeguramente repetire",,España,8.8,En familia,Habitación Doble Deluxe,2021-11-15,"Centrally located hotel ideal for spending a few days as a couple or family, huge rooms and very well equipped. Second time I come and I sure as hell repeat",
527,Esther,Tranquilidad,"El desayuno excelente 
Los camareros de la zona de desayuno muy, muy amables","Podrían mejorar el tema habitación, éramos 3 y nos dieron una habitación para 5. Lo incomodo en esta caso es que uno durmió en una litera.",España,8.0,En familia,Habitación Triple,2021-11-15,"Excellent breakfast The 
waiters in the breakfast area are very, very friendly","They could improve the room theme, there were 3 of us and they gave us a room for 5. The inconvenience in this case is that one slept in a bunk."
528,Jose,Breve pero intenso,"Siempre que vamos a Andorra, venimos a este hotel, porque nos encanta la situacion, la amplitud de las habitaciones, el personal... Gracias","En esta ocasión nos quedamos sin parking, estaba todo lleno y los parkings exteriores mas cercanos, tambien. Como sugerencia, tener parkings disponibles para cubrir demandas, aunque fuese en el hotel de enfrente, plazas alquiladas. Gracias",España,10.0,En grupo,Habitación Doble - 1 o 2 camas,2021-11-14,"Whenever we go to Andorra, we come to this hotel, because we love the situation, the spaciousness of the rooms, the staff... Thank you","On this occasion we ran out of parking, everything was full and the nearest outdoor car parks, too. As a suggestion, have parking available to meet demands, even if it was in the opposite hotel, rented spaces. Thank you"
529,Erica,Excelente,"Ubicación perfecta, habitación grande, preciosa y de diseño, pero lo mejor la cena: cogimos media pension y fue cena de menú, calidad espectacular. Un 10 los cocineros",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-14,"Perfect location, large, beautiful and designer room, but the best dinner: we took half board and it was dinner menu, spectacular quality. 10 The Cooks",
530,Hugo,Fantástico,Las almohadas eran demasiado duras,,España,9.0,En pareja,Habitación Doble Deluxe,2021-11-14,The pillows were too hard,
531,Osorio,Fantástico,El personal muy amable y el desayuno y cena muy bien.,,España,9.0,En familia,Habitación Familiar Deluxe,2021-11-14,Very friendly staff and breakfast and dinner very well.,
532,Cristina,Genial,La comodidad de las camas y sus habitaciones,,España,9.0,En grupo,Habitación Doble - 1 o 2 camas,2021-11-12,The comfort of the beds and their rooms,
533,Hal05,Excelente.,Ubicación. La habitación perfecta. Y una relación calidad/precio inmejorable.,Las plazas de parking un poco pequeñas. Deberían mejorar la calidad del WIFI.,España,9.0,Persona que viaja sola,Habitación Doble - 1 o 2 camas,2021-11-12,Location. The perfect room. And an unbeatable quality/price ratio.,The parking spaces are a little small. They should improve the quality of the WIFI.
534,Silvina,Fantástico,"Muy bien atendidos por el personal del hotel. Habitaciones muy amplías y muy limpio todo. La ubicación del hotel es perfecta, para dejar el coche en el parking del hotel y moverse andando por la Ciudad.
Es la segunda vez que reservó y no decepciona",,España,9.0,En grupo,Habitación Doble - 1 o 2 camas,2021-11-11,"Very well taken care of by the hotel staff. Very spacious rooms and very clean everything. The location of the hotel is perfect, to leave the car in the hotel car park and move around the city.
It's the second time he's booked and he doesn't disappoint",
535,Alexandre,sin sorpresas,La habitación espaciosa y muy tranquila sin ruidos.,"servicio de bar, complicado servicio de bar para tomar una copa.",España,8.0,En pareja,Habitación Doble Deluxe,2021-11-11,The room is spacious and very quiet without noise.,"bar service, complicated bar service for a drink."
536,Ricardo,Muy bien,Las cenas y el trato del personal fue excelente.,Falta de mantenimiento o de un cambio de mobiliario en habitaciones.,España,8.0,En familia,Habitación Doble - 1 o 2 camas,2021-11-09,Dinners and staff treatment were excellent.,Lack of maintenance or a change of furniture in rooms.
537,Carme,"Excelente,","Desayuno correcto.
Ubicacion perfecta",Parking muy caro,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2021-11-07,"Correct breakfast.
Perfect location",Very expensive parking
538,Paqui,Un hotel muy recomendable,"Un hotel muy céntrico , la habitación muy grande y limpia , dos cuartos de baño , y tengo que recomendar el restaurante el menú super bueno y la atención de los camareros una chica y un chico muy amables y simpáticos , volveremos seguro",,España,10.0,En familia,Habitación Cuádruple Estándar,2021-11-06,"A very central hotel, the room very large and clean , two bathrooms , and I have to recommend the restaurant the super good menu and the attention of the waiters a very nice and friendly girl and boy, we will return for sure",
539,Rosa,Muy bien,Todo perfecto,,España,8.0,En grupo,Habitación Triple,2021-11-05,Everything is perfect,
